"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SPA","correct_Target_response_Prac","correct_Welcome_PP_SPA","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","5747","F","F","PP_LIST2.csv","ladder.jpg","house.jpg","100","100","625.571428571","625.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","0","0","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","661","NA","NA","661","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","55796","47943","38950","49567","56300","55793","8678","55638","56300","56964","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","57465","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","7","4379","7","no","yes","1024"
"F","5747","F","F","PP_LIST2.csv","knife.jpg","ladder.jpg","100","100","620.25","620.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","1","1","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","583","NA","NA","583","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","57714","47943","38950","49567","58218","57711","8678","55638","58218","58804","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","59304","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","8","4962","8","no","yes","1024"
"F","5747","F","F","PP_LIST2.csv","wndmil.jpg","mitten.jpg","100","100","603.777777778","603.777777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","2","2","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","472","NA","NA","472","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","59521","47943","38950","49567","60025","59518","8678","55638","60025","60500","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","61000","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","9","5434","9","no","yes","1024"
"Y","5747","H","H","PP_LIST2.csv","tireH.jpg","tireH.jpg","100","100","596.2","596.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","3","3","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","528","NA","NA","528","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","61221","47943","38950","49567","61729","61213","8678","55638","61729","62260","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","62760","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","10","5962","10","no","yes","1024"
"Y","5747","H","H","PP_LIST2.csv","scssorH.jpg","scssorH.jpg","100","100","596.909090909","596.909090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","4","4","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","604","NA","NA","604","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","62958","47943","38950","49567","63462","62955","8678","55638","63462","64069","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","64569","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","11","6566","11","no","yes","1024"
"N","5747","V","H","PP_LIST2.csv","keyV.jpg","keyH.jpg","100","100","609.166666667","609.166666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","5","5","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","744","NA","NA","744","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","64770","47943","38950","49567","65274","64767","8678","55638","65274","66021","NA","NA","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","66521","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","12","7310","12","no","yes","1024"
"N","5747","V","H","PP_LIST2.csv","nailV.jpg","nailH.jpg","92.3076923077","92.3076923077","618.307692308","618.307692308","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","6","6","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","728","NA","NA","728","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","66722","47943","38950","49567","67226","66719","8678","55638","67226","66021","NA","67957","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","68457","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","12","8038","13","no","yes","1024"
"F","5747","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","92.8571428571","92.8571428571","609.571428571","609.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","7","7","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","496","NA","NA","496","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","68665","47943","38950","49567","69169","68662","8678","55638","69169","69669","NA","67957","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","70169","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","13","8534","14","no","yes","1024"
"Y","5747","V","V","PP_LIST2.csv","bookV.jpg","bookV.jpg","93.3333333333","93.3333333333","616.466666667","616.466666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","8","8","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","713","NA","NA","713","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","70368","47943","38950","49567","70872","70365","8678","55638","70872","71589","NA","67957","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","72089","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","14","9247","15","no","yes","1024"
"N","5747","V","H","PP_LIST2.csv","pencilV.jpg","pencilH.jpg","93.75","93.75","619.75","619.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","11/15/19 17:36:31","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","9","9","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Data/COL_001_PP_030.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","669","NA","NA","669","NA","NA","NA","NA","NA","NA","NA","NA","NA","6047","NA","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","30248","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","30","even","no","no","NA","8678","4406","4409","7279","8655","8655","NA","NA","55638","72300","47943","38950","49567","72804","72297","8678","55638","72804","73477","NA","67957","38950","49497","38983","47940","38983","38983","38950","NA","NA","NA","NA","NA","NA","NA","NA","NA","49570","NA","NA","NA","48447","48447","48997","NA","NA","73977","NA","NA","NA","NA","NA","NA","NA","NA","NA","8681","NA","NA","NA","Orientation_PSA2018","15","9916","16","no","yes","1024"
