"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SPA","correct_Target_response_Prac","correct_Welcome_PP_SPA","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","5747","F","F","PP_LIST4.csv","ladder.jpg","house.jpg","100","100","646.285714286","646.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","0","0","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","602","NA","NA","602","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","40892","35867","26283","37534","41397","40888","11780","40643","41397","42004","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","42504","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","7","4524","7","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","knife.jpg","ladder.jpg","100","100","641.75","641.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","1","1","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","610","NA","NA","610","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","42853","35867","26283","37534","43358","42847","11780","40643","43358","43973","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","44473","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","8","5134","8","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","wndmil.jpg","mitten.jpg","100","100","626.111111111","626.111111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","2","2","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","501","NA","NA","501","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","44746","35867","26283","37534","45251","44741","11780","40643","45251","45757","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","46257","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","9","5635","9","no","yes","1024"
"N","5747","H","V","PP_LIST4.csv","tireH.jpg","tireV.jpg","100","100","606.2","606.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","3","3","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","427","NA","NA","427","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","46554","35867","26283","37534","47060","46550","11780","40643","47060","47492","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","47993","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","10","6062","10","no","yes","1024"
"N","5747","H","V","PP_LIST4.csv","scssorH.jpg","scssorV.jpg","100","100","608.363636364","608.363636364","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","4","4","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","630","NA","NA","630","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","48280","35867","26283","37534","48785","48275","11780","40643","48785","49420","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","49921","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","11","6692","11","no","yes","1024"
"Y","5747","V","V","PP_LIST4.csv","keyV.jpg","keyV.jpg","100","100","592.083333333","592.083333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","5","5","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","413","NA","NA","413","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","50217","35867","26283","37534","50722","50213","11780","40643","50722","51140","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","51640","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","12","7105","12","no","yes","1024"
"Y","5747","V","V","PP_LIST4.csv","nailV.jpg","nailV.jpg","100","100","578.384615385","578.384615385","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","6","6","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","414","NA","NA","414","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","51919","35867","26283","37534","52425","51915","11780","40643","52425","52844","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","53344","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","13","7519","13","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","skirt.jpg","tlphon.jpg","100","100","567.5","567.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","7","7","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","426","NA","NA","426","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","53635","35867","26283","37534","54141","53631","11780","40643","54141","54572","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","55072","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","14","7945","14","no","yes","1024"
"N","5747","V","H","PP_LIST4.csv","bookV.jpg","bookH.jpg","100","100","564.733333333","564.733333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","8","8","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","526","NA","NA","526","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","55343","35867","26283","37534","55849","55339","11780","40643","55849","56380","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","56880","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","15","8471","15","no","yes","1024"
"Y","5747","V","V","PP_LIST4.csv","pencilV.jpg","pencilV.jpg","100","100","561.25","561.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","11/12/19 15:47:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","9","9","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_022.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","509","NA","NA","509","NA","NA","NA","NA","NA","NA","NA","NA","NA","3076","NA","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","14471","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","22","even","no","no","NA","11779","6400","6402","10269","11749","11749","NA","NA","40643","57162","35867","26283","37534","57666","57157","11780","40643","57666","58180","NA","NA","26283","37440","26339","35862","26339","26339","26283","NA","NA","NA","NA","NA","NA","NA","NA","NA","37539","NA","NA","NA","36372","36372","36940","NA","NA","58680","NA","NA","NA","NA","NA","NA","NA","NA","NA","11785","NA","NA","NA","Orientation_PSA2018","16","8980","16","no","yes","1024"
