"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SPA","correct_Target_response_Prac","correct_Welcome_PP_SPA","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","5747","F","F","PP_LIST3.csv","ladder.jpg","house.jpg","100","100","765.285714286","765.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","0","0","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","903","NA","NA","903","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","36852","33222","23191","34973","37357","36847","9472","36607","37357","38265","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","38765","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","7","5357","7","no","yes","1024"
"F","5747","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","100","100","779.125","779.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","1","1","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","876","NA","NA","876","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","39101","33222","23191","34973","39607","39097","9472","36607","39608","40489","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","40989","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","8","6233","8","no","yes","1024"
"F","5747","F","F","PP_LIST3.csv","wndmil.jpg","mitten.jpg","100","100","767.888888889","767.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","2","2","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","678","NA","NA","678","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","41276","33222","23191","34973","41781","41271","9472","36607","41781","42464","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","42965","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","9","6911","9","no","yes","1024"
"Y","5747","V","V","PP_LIST3.csv","tireV.jpg","tireV.jpg","100","100","756.1","756.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","3","3","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","650","NA","NA","650","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","43264","33222","23191","34973","43769","43259","9472","36607","43769","44424","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","44925","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","10","7561","10","no","yes","1024"
"Y","5747","V","V","PP_LIST3.csv","scssorV.jpg","scssorV.jpg","100","100","751.636363636","751.636363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","4","4","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","707","NA","NA","707","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","45215","33222","23191","34973","45720","45211","9472","36607","45720","46432","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","46933","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","11","8268","11","no","yes","1024"
"Y","5747","H","H","PP_LIST3.csv","keyH.jpg","keyH.jpg","100","100","740.416666667","740.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","5","5","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","617","NA","NA","617","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","47224","33222","23191","34973","47729","47220","9472","36607","47730","48352","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","48852","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","12","8885","12","no","yes","1024"
"Y","5747","H","H","PP_LIST3.csv","nailH.jpg","nailH.jpg","100","100","744.307692308","744.307692308","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","6","6","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","791","NA","NA","791","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","49138","33222","23191","34973","49643","49133","9472","36607","49644","50440","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","50940","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","13","9676","13","no","yes","1024"
"F","5747","F","F","PP_LIST3.csv","skirt.jpg","tlphon.jpg","100","100","740.285714286","740.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","7","7","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","688","NA","NA","688","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","51218","33222","23191","34973","51723","51213","9472","36607","51723","52416","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","52916","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","14","10364","14","no","yes","1024"
"N","5747","H","V","PP_LIST3.csv","bookH.jpg","bookV.jpg","100","100","761.866666667","761.866666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","8","8","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1064","NA","NA","1064","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","53210","33222","23191","34973","53716","53206","9472","36607","53716","54785","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","55285","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","15","11428","15","no","yes","1024"
"Y","5747","H","H","PP_LIST3.csv","pencilH.jpg","pencilH.jpg","100","100","757.5","757.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","11/19/19 10:58:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USUARIO 1\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","9","9","1","5","C:/Users/USUARIO 1/Desktop/Experiment/Raw data/COL_001_PP_037.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","692","NA","NA","692","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601","NA","NA","NA","651","NA","NA","NA","NA","NA","NA","NA","NA","NA","13687","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","37","odd","no","no","NA","9472","6043","6046","8017","9441","9441","NA","NA","36607","55583","33222","23191","34973","56088","55578","9472","36607","56088","56785","NA","NA","23191","34884","23248","33218","23249","23248","23191","NA","NA","NA","NA","NA","NA","NA","NA","NA","34978","NA","NA","NA","33727","33728","34384","NA","NA","57285","NA","NA","NA","NA","NA","NA","NA","NA","NA","9477","NA","NA","NA","Orientation_PSA2018","16","12120","16","no","yes","1024"
