"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","6652","V","H","PP_LIST3.csv","brushV.jpg","brushH.jpg","100","100","801.428571429","801.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","734","NA","NA","734","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","29034","25928","16296","27749","29543","29025","6299","28938","29543","30288","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","30788","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5610","7","no","yes","1024"
"Y","6652","V","V","PP_LIST3.csv","scssorV.jpg","scssorV.jpg","100","100","770.5","770.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","554","NA","NA","554","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","30911","25928","16296","27749","31420","30902","6299","28938","31420","31984","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","32484","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","6164","8","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","piano.jpg","sutcse.jpg","100","100","770","770","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","766","NA","NA","766","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","32595","25928","16296","27749","33104","32585","6299","28938","33104","33880","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","34380","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6930","9","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","tlphon.jpg","knife.jpg","100","100","760.8","760.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","678","NA","NA","678","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","34491","25928","16296","27749","35000","34482","6299","28938","35000","35688","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","36188","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","7608","10","no","yes","1024"
"Y","6652","H","H","PP_LIST3.csv","pencilH.jpg","pencilH.jpg","100","100","749.545454545","749.545454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","637","NA","NA","637","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","36299","25928","16296","27749","36808","36290","6299","28938","36809","37457","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","37957","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","8245","11","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","needle.jpg","tiger.jpg","100","100","754.916666667","754.916666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","814","NA","NA","814","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","38067","25928","16296","27749","38576","38058","6299","28938","38576","39401","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","39901","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","9059","12","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","pumpkin.jpg","trmpet.jpg","100","100","760.076923077","760.076923077","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","822","NA","NA","822","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","40011","25928","16296","27749","40520","40001","6299","28938","40520","41353","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","41853","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","9881","13","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","tiger.jpg","wndmil.jpg","100","100","756","756","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","703","NA","NA","703","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","41962","25928","16296","27749","42472","41953","6299","28938","42472","43185","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","43685","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","10584","14","no","yes","1024"
"Y","6652","V","V","PP_LIST3.csv","plateV.jpg","plateV.jpg","100","100","753.266666667","753.266666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","715","NA","NA","715","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","43798","25928","16296","27749","44307","43788","6299","28938","44307","45032","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","45532","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","11299","15","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","100","100","747.125","747.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","655","NA","NA","655","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","45643","25928","16296","27749","46152","45633","6299","28938","46152","46817","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","47317","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","11954","16","no","yes","1024"
"Y","6652","V","V","PP_LIST3.csv","penV.jpg","penV.jpg","100","100","748.176470588","748.176470588","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","10","10","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","765","NA","NA","765","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","47429","25928","16296","27749","47938","47419","6299","28938","47938","48713","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","49213","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","12719","17","no","yes","1024"
"Y","6652","V","V","PP_LIST3.csv","saltV.jpg","saltV.jpg","100","100","739.444444444","739.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","11","11","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","591","NA","NA","591","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","49323","25928","16296","27749","49832","49313","6299","28938","49832","50433","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","50933","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","13310","18","no","yes","1024"
"F","6652","F","F","PP_LIST3.csv","nut.jpg","watch.jpg","100","100","738","738","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","12","12","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","712","NA","NA","712","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","51042","25928","16296","27749","51551","51033","6299","28938","51551","52273","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","52773","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","19","14022","19","no","yes","1024"
"Y","6652","V","V","PP_LIST3.csv","tireV.jpg","tireV.jpg","100","100","730.05","730.05","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","13","13","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","579","NA","NA","579","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","52887","25928","16296","27749","53396","52878","6299","28938","53396","53986","NA","NA","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","54486","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","14601","20","no","yes","1024"
"N","6652","V","H","PP_LIST3.csv","flashV.jpg","flashH.jpg","95.2380952381","95.2380952381","737.666666667","737.666666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","0","0","0","Fri Nov  8 10:44:09 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/psylab/Documents/MIRO/02_PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","14","14","1","5","/Users/psylab/Documents/MIRO/02_PP/subject-19.csv","legacy","no","Kafkaesque Koffka","3.2.7","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","890","NA","NA","890","NA","1166","NA","NA","NA","NA","NA","NA","NA","768","NA","9974","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","19","odd","no","no","NA","6299","3037","3038","5279","6286","6285","NA","NA","28938","54600","25928","16296","27749","55109","54590","6299","28938","55109","53986","NA","56009","16296","27715","16311","25918","16311","16311","16296","NA","27759","NA","NA","NA","NA","NA","NA","NA","26437","26437","27215","NA","NA","56509","NA","6308","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","15491","21","no","yes","1024"
