"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SLK","correct_Target_response_Prac","correct_Welcome_PP_SLK","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","2299","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","77.7777777778","77.7777777778","1016.66666667","1016.66666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","0","0","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","774","NA","NA","774","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","57292","41158","24250","43037","57797","57289","12033","57096","57797","58574","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","59074","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","7","9150","9","no","yes","1024"
"Y","2299","H","H","PP_LIST2.csv","saltH.jpg","saltH.jpg","80","80","984.6","984.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","7","0","0","1","1","0","0","1","1","1","1","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","1","1","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","696","NA","NA","696","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","59370","41158","24250","43037","59875","59367","12033","57096","59875","60574","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","61074","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","8","9846","10","no","yes","1024"
"F","2299","F","F","PP_LIST2.csv","watch.jpg","skirt.jpg","81.8181818182","81.8181818182","954","954","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","7","0","0","2","2","0","0","2","2","2","2","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","2","2","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","648","NA","NA","648","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","61322","41158","24250","43037","61827","61319","12033","57096","61827","62478","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","62978","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","9","10494","11","no","yes","1024"
"F","2299","F","F","PP_LIST2.csv","ring.jpg","stove.jpg","83.3333333333","83.3333333333","923.333333333","923.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","7","0","0","3","3","0","0","3","3","3","3","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","3","3","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","586","NA","NA","586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","63223","41158","24250","43037","63729","63220","12033","57096","63729","64318","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","64818","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","10","11080","12","no","yes","1024"
"F","2299","F","F","PP_LIST2.csv","tlphon.jpg","knife.jpg","84.6153846154","84.6153846154","896.153846154","896.153846154","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","7","0","0","4","4","0","0","4","4","4","4","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","4","4","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","570","NA","NA","570","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","65064","41158","24250","43037","65569","65061","12033","57096","65569","66142","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","66642","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","11","11650","13","no","yes","1024"
"F","2299","F","F","PP_LIST2.csv","piano.jpg","sutcse.jpg","85.7142857143","85.7142857143","876.785714286","876.785714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","7","0","0","5","5","0","0","5","5","5","5","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","5","5","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","625","NA","NA","625","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","66873","41158","24250","43037","67378","66870","12033","57096","67378","68006","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","68506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","12","12275","14","no","yes","1024"
"F","2299","F","F","PP_LIST2.csv","tiger.jpg","wndmil.jpg","86.6666666667","86.6666666667","856","856","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","7","0","0","6","6","0","0","6","6","6","6","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","6","6","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","565","NA","NA","565","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","68765","41158","24250","43037","69270","68762","12033","57096","69270","69838","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","70338","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","13","12840","15","no","yes","1024"
"Y","2299","H","H","PP_LIST2.csv","penH.jpg","penH.jpg","87.5","87.5","841.625","841.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","7","7","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","626","NA","NA","626","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","70600","41158","24250","43037","71105","70597","12033","57096","71105","71734","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","72234","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","14","13466","16","no","yes","1024"
"Y","2299","V","V","PP_LIST2.csv","axeV.jpg","axeV.jpg","88.2352941176","88.2352941176","829.058823529","829.058823529","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","7","0","0","8","8","0","0","8","8","8","8","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","8","8","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","628","NA","NA","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","72494","41158","24250","43037","72999","72491","12033","57096","72999","73630","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","74130","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","15","14094","17","no","yes","1024"
"N","2299","V","H","PP_LIST2.csv","guitarV.jpg","guitarH.jpg","88.8888888889","88.8888888889","824","824","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","7","0","0","9","9","0","0","9","9","9","9","0","7","2","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","7","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 15:14:40","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA_GB\PP","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","9","9","3","5","C:/PSA_GB/PP/subject-56.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","738","NA","NA","738","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14035","NA","NA","NA","NA","795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12191","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","56","even","no","no","NA","12033","7543","7546","10045","12009","12009","NA","NA","57096","74376","41158","24250","43037","74881","74373","12033","57096","74881","75622","NA","NA","24250","42962","31676","41155","31676","31676","24250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43040","NA","NA","NA","NA","41663","41664","42462","31116","30611","76122","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12036","NA","NA","NA","NA","Orientation_PSA2018","16","14832","18","no","yes","1024"
