"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","8552","V","H","PP_LIST2.csv","keyV.jpg","keyH.jpg","87.5","87.5","884.875","884.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","0","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","848","NA","NA","848","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2924135","2919243","2906189","2920841","2924637","2924132","4889","2923987","2924638","2925490","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2925990","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","7079","8","yes","1024"
"Y","8552","V","V","PP_LIST2.csv","batV.jpg","batV.jpg","88.8888888889","88.8888888889","844.444444444","844.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","6","0","0","1","1","0","0","1","1","1","1","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","1","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","521","NA","NA","521","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2926198","2919243","2906189","2920841","2926701","2926195","4889","2923987","2926701","2927226","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2927726","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","7600","9","yes","1024"
"F","8552","F","F","PP_LIST2.csv","couch.jpg","spider.jpg","90","90","816.5","816.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","6","0","0","2","2","0","0","2","2","2","2","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","2","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","565","NA","NA","565","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2927906","2919243","2906189","2920841","2928409","2927902","4889","2923987","2928409","2928978","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2929478","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","8165","10","yes","1024"
"N","8552","V","H","PP_LIST2.csv","glassV.jpg","glassH.jpg","90.9090909091","90.9090909091","816.090909091","816.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","6","0","0","3","3","0","0","3","3","3","3","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","3","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","812","NA","NA","812","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2929659","2919243","2906189","2920841","2930162","2929656","4889","2923987","2930162","2930978","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2931478","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","8977","11","yes","1024"
"F","8552","F","F","PP_LIST2.csv","piano.jpg","sutcse.jpg","91.6666666667","91.6666666667","791.5","791.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","6","0","0","4","4","0","0","4","4","4","4","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","4","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","521","NA","NA","521","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2931654","2919243","2906189","2920841","2932156","2931651","4889","2923987","2932157","2932682","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2933182","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","9498","12","yes","1024"
"N","8552","H","V","PP_LIST2.csv","brushH.jpg","brushV.jpg","92.3076923077","92.3076923077","791.769230769","791.769230769","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","6","0","0","5","5","0","0","5","5","5","5","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","5","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","795","NA","NA","795","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2933356","2919243","2906189","2920841","2933859","2933353","4889","2923987","2933859","2934658","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2935158","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","10293","13","yes","1024"
"N","8552","V","H","PP_LIST2.csv","guitarV.jpg","guitarH.jpg","92.8571428571","92.8571428571","779.928571429","779.928571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","6","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","626","NA","NA","626","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2935333","2919243","2906189","2920841","2935836","2935330","4889","2923987","2935836","2936466","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2936966","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","10919","14","yes","1024"
"N","8552","H","V","PP_LIST2.csv","clothespinH.jpg","clothespinV.jpg","93.3333333333","93.3333333333","766.133333333","766.133333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","6","0","0","7","7","0","0","7","7","7","7","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","7","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","573","NA","NA","573","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2937146","2919243","2906189","2920841","2937648","2937143","4889","2923987","2937648","2938225","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2938725","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","11492","15","yes","1024"
"F","8552","F","F","PP_LIST2.csv","knife.jpg","ladder.jpg","93.75","93.75","754.1875","754.1875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","6","0","0","8","8","0","0","8","8","8","8","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","8","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","575","NA","NA","575","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2938896","2919243","2906189","2920841","2939399","2938893","4889","2923987","2939399","2939978","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2940479","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","12067","16","yes","1024"
"F","8552","F","F","PP_LIST2.csv","watch.jpg","skirt.jpg","94.1176470588","94.1176470588","754.352941176","754.352941176","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","6","0","0","9","9","0","0","9","9","9","9","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","9","0","0","0","0","0","0","NA","NA","09/25/19 09:29:31","Matching Tasks","yes","","PP.osexp","C:\Users\Administrator\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","2","5","C:/Users/Administrator/Desktop/Scripts/PP Data/078.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","757","NA","NA","757","NA","3122","NA","NA","NA","NA","523","NA","2901274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","78","even","NA","4888","2133","2134","3631","4864","4864","NA","NA","2923987","2940650","2919243","2906189","2920841","2941153","2940647","4889","2923987","2941153","2941914","NA","NA","2906189","2920773","2909874","2919240","2909874","2909874","2906189","NA","2920844","NA","NA","NA","NA","2919746","2919746","2920273","2909327","2908824","2942414","NA","4891","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","12824","17","yes","1024"
