"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","8552","H","V","PP_LIST1.csv","guitarH.jpg","guitarV.jpg","100","100","1049.71428571","1049.71428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","598","NA","NA","598","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1721188","1637776","1625906","1639648","1721689","1721187","10513","1721065","1721689","1722288","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1722788","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","7348","7","yes","1024"
"F","8552","F","F","PP_LIST1.csv","knife.jpg","ladder.jpg","100","100","1014","1014","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","764","NA","NA","764","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1722894","1637776","1625906","1639648","1723395","1722892","10513","1721065","1723395","1724160","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1724660","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","8112","8","yes","1024"
"F","8552","F","F","PP_LIST1.csv","sutcse.jpg","pumpkin.jpg","100","100","964.888888889","964.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","572","NA","NA","572","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1724758","1637776","1625906","1639648","1725259","1724757","10513","1721065","1725259","1725832","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1726332","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","8684","9","yes","1024"
"N","8552","V","H","PP_LIST1.csv","saltV.jpg","saltH.jpg","100","100","932.4","932.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","640","NA","NA","640","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1726434","1637776","1625906","1639648","1726935","1726432","10513","1721065","1726935","1727577","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1728077","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","9324","10","yes","1024"
"N","8552","V","H","PP_LIST1.csv","penV.jpg","penH.jpg","100","100","906.727272727","906.727272727","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","650","NA","NA","650","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1728176","1637776","1625906","1639648","1728677","1728174","10513","1721065","1728677","1729329","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1729829","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","9974","11","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","batH.jpg","batH.jpg","100","100","864","864","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","394","NA","NA","394","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1729936","1637776","1625906","1639648","1730437","1729934","10513","1721065","1730437","1730833","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1731333","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","10368","12","yes","1024"
"F","8552","F","F","PP_LIST1.csv","nut.jpg","watch.jpg","100","100","835.846153846","835.846153846","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","498","NA","NA","498","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1731432","1637776","1625906","1639648","1731933","1731431","10513","1721065","1731933","1732433","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1732933","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","10866","13","yes","1024"
"F","8552","F","F","PP_LIST1.csv","ring.jpg","stove.jpg","100","100","809.5","809.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","467","NA","NA","467","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1733031","1637776","1625906","1639648","1733532","1733030","10513","1721065","1733532","1734001","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1734501","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","11333","14","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","broomH.jpg","broomH.jpg","100","100","786.133333333","786.133333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","459","NA","NA","459","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1734599","1637776","1625906","1639648","1735100","1734598","10513","1721065","1735100","1735561","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1736061","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","11792","15","yes","1024"
"N","8552","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","100","100","765.0625","765.0625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","449","NA","NA","449","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1736161","1637776","1625906","1639648","1736662","1736160","10513","1721065","1736662","1737112","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1737613","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","12241","16","yes","1024"
"Y","8552","V","V","PP_LIST1.csv","fire_extinguisherV.jpg","fire_extinguisherV.jpg","100","100","746.705882353","746.705882353","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","10","10","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","453","NA","NA","453","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1737724","1637776","1625906","1639648","1738226","1737723","10513","1721065","1738226","1738681","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1739181","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","12694","17","yes","1024"
"F","8552","F","F","PP_LIST1.csv","ladder.jpg","house.jpg","100","100","734.277777778","734.277777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","11","11","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","523","NA","NA","523","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1739279","1637776","1625906","1639648","1739780","1739277","10513","1721065","1739780","1740304","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1740804","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","13217","18","yes","1024"
"Y","8552","V","V","PP_LIST1.csv","brushV.jpg","brushV.jpg","100","100","720.631578947","720.631578947","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","12","12","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","475","NA","NA","475","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1740911","1637776","1625906","1639648","1741412","1740909","10513","1721065","1741412","1741889","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1742389","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","19","13692","19","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","bowlH.jpg","bowlH.jpg","100","100","703.6","703.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","13","13","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","380","NA","NA","380","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1742494","1637776","1625906","1639648","1742995","1742492","10513","1721065","1742995","1743376","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1743876","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","14072","20","yes","1024"
"F","8552","F","F","PP_LIST1.csv","tiger.jpg","wndmil.jpg","100","100","695.19047619","695.19047619","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","14","14","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","527","NA","NA","527","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1743978","1637776","1625906","1639648","1744479","1743977","10513","1721065","1744479","1745008","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1745508","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","21","14599","21","yes","1024"
"F","8552","F","F","PP_LIST1.csv","piano.jpg","sutcse.jpg","100","100","688.818181818","688.818181818","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","15","0","15","5","0","0","15","15","0","0","15","15","15","15","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","15","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","15","15","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","555","NA","NA","555","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1745607","1637776","1625906","1639648","1746108","1745605","10513","1721065","1746108","1746665","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1747165","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","22","15154","22","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","axeH.jpg","axeH.jpg","100","100","680.173913043","680.173913043","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","16","0","16","5","0","0","16","16","0","0","16","16","16","16","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","16","0","0","0","0","0","0","NA","NA","09/27/19 10:43:50","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","16","16","1","5","C:/Users/chopik/Desktop/Scripts/PP Data/212.CSV","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","F","NA","space","NA","NA","NA","NA","490","NA","NA","490","NA","81406","NA","NA","NA","NA","842","NA","1615380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","10513","2032","2035","9504","10503","10503","NA","NA","1721065","1747264","1637776","1625906","1639648","1747765","1747263","10513","1721065","1747765","1748257","NA","NA","1625906","1639621","1625921","1637774","1625921","1625921","1625906","NA","1639649","NA","NA","NA","NA","1638277","1638277","1639121","1628933","NA","1748757","NA","10515","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","23","15644","23","yes","1024"
