"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","8552","V","V","PP_LIST4.csv","guitarV.jpg","guitarV.jpg","100","100","836.285714286","836.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","658","NA","NA","658","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1906506","1892334","1882569","1894533","1907009","1906503","5075","1906354","1907009","1907671","NA","NA","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1908171","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5854","7","yes","1024"
"F","8552","F","F","PP_LIST4.csv","knife.jpg","ladder.jpg","87.5","87.5","815.625","815.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","671","NA","NA","671","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1908373","1892334","1882569","1894533","1908876","1908370","5075","1906354","1908877","1907671","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1910052","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","6525","8","yes","1024"
"F","8552","F","F","PP_LIST4.csv","sutcse.jpg","pumpkin.jpg","88.8888888889","88.8888888889","796.444444444","796.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","643","NA","NA","643","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1910225","1892334","1882569","1894533","1910727","1910222","5075","1906354","1910728","1911374","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1911874","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","7168","9","yes","1024"
"N","8552","H","V","PP_LIST4.csv","saltH.jpg","saltV.jpg","90","90","833.7","833.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","1169","NA","NA","1169","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1912052","1892334","1882569","1894533","1912554","1912049","5075","1906354","1912554","1913727","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1914227","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","8337","10","yes","1024"
"N","8552","H","V","PP_LIST4.csv","penH.jpg","penV.jpg","90.9090909091","90.9090909091","833.454545455","833.454545455","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","831","NA","NA","831","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1914405","1892334","1882569","1894533","1914907","1914402","5075","1906354","1914908","1915742","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1916242","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","9168","11","yes","1024"
"N","8552","V","H","PP_LIST4.csv","batV.jpg","batH.jpg","91.6666666667","91.6666666667","815.833333333","815.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","622","NA","NA","622","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1916446","1892334","1882569","1894533","1916949","1916443","5075","1906354","1916949","1917575","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1918075","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","9790","12","yes","1024"
"F","8552","F","F","PP_LIST4.csv","nut.jpg","watch.jpg","92.3076923077","92.3076923077","800.769230769","800.769230769","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","620","NA","NA","620","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1918247","1892334","1882569","1894533","1918750","1918244","5075","1906354","1918751","1919374","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1919874","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","10410","13","yes","1024"
"F","8552","F","F","PP_LIST4.csv","ring.jpg","stove.jpg","92.8571428571","92.8571428571","817.5","817.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","1035","NA","NA","1035","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1920042","1892334","1882569","1894533","1920544","1920039","5075","1906354","1920544","1921583","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1922083","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","11445","14","yes","1024"
"N","8552","V","H","PP_LIST4.csv","broomV.jpg","broomH.jpg","93.3333333333","93.3333333333","810.466666667","810.466666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","712","NA","NA","712","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1922252","1892334","1882569","1894533","1922755","1922249","5075","1906354","1922755","1923470","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1923970","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","12157","15","yes","1024"
"Y","8552","V","V","PP_LIST4.csv","keyV.jpg","keyV.jpg","93.75","93.75","798.75","798.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","NA","NA","10/03/19 08:43:49","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","1","5","C:/Users/Chopik1/Desktop/Scripts/PP Data/321.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","623","NA","NA","623","NA","11795","NA","NA","NA","NA","1126","NA","1877469","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","321","odd","NA","5075","2165","2166","3629","5052","5052","NA","NA","1906354","1924157","1892334","1882569","1894533","1924660","1924153","5075","1906354","1924660","1925287","NA","1909551","1882570","1894466","1882598","1892331","1882598","1882598","1882570","NA","1894536","NA","NA","NA","NA","1892836","1892837","1893966","NA","NA","1925787","NA","5078","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","12780","16","yes","1024"
