"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","8552","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","87.5","87.5","924.625","924.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","0","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","917","NA","NA","917","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1080309","1075802","1062970","1077437","1080811","1080308","8703","1080225","1080811","1081730","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1082230","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","7397","8","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","batH.jpg","batH.jpg","88.8888888889","88.8888888889","899.333333333","899.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","6","0","0","1","1","0","0","1","1","1","1","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","1","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","697","NA","NA","697","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1082322","1075802","1062970","1077437","1082823","1082321","8703","1080225","1082823","1083522","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1084022","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","8094","9","yes","1024"
"F","8552","F","F","PP_LIST1.csv","couch.jpg","spider.jpg","90","90","877.2","877.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","6","0","0","2","2","0","0","2","2","2","2","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","2","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","678","NA","NA","678","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1084101","1075802","1062970","1077437","1084602","1084100","8703","1080225","1084602","1085282","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1085782","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","8772","10","yes","1024"
"N","8552","H","V","PP_LIST1.csv","glassH.jpg","glassV.jpg","90.9090909091","90.9090909091","858.818181818","858.818181818","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","6","0","0","3","3","0","0","3","3","3","3","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","3","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","675","NA","NA","675","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1085869","1075802","1062970","1077437","1086373","1085868","8703","1080225","1086373","1087050","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1087550","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","9447","11","yes","1024"
"F","8552","F","F","PP_LIST1.csv","piano.jpg","sutcse.jpg","91.6666666667","91.6666666667","843.416666667","843.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","6","0","0","4","4","0","0","4","4","4","4","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","4","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","674","NA","NA","674","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1087630","1075802","1062970","1077437","1088134","1087628","8703","1080225","1088134","1088810","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1089310","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","10121","12","yes","1024"
"Y","8552","V","V","PP_LIST1.csv","brushV.jpg","brushV.jpg","92.3076923077","92.3076923077","836.461538462","836.461538462","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","6","0","0","5","5","0","0","5","5","5","5","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","5","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","753","NA","NA","753","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1089391","1075802","1062970","1077437","1089895","1089389","8703","1080225","1089895","1090650","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1091150","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","10874","13","yes","1024"
"N","8552","H","V","PP_LIST1.csv","guitarH.jpg","guitarV.jpg","92.8571428571","92.8571428571","818.857142857","818.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","6","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","590","NA","NA","590","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1091242","1075802","1062970","1077437","1091746","1091240","8703","1080225","1091746","1092338","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1092838","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","11464","14","yes","1024"
"Y","8552","V","V","PP_LIST1.csv","clothespinV.jpg","clothespinV.jpg","93.3333333333","93.3333333333","806.4","806.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","6","0","0","7","7","0","0","7","7","7","7","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","7","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","632","NA","NA","632","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1092937","1075802","1062970","1077437","1093440","1092935","8703","1080225","1093440","1094074","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1094574","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","12096","15","yes","1024"
"F","8552","F","F","PP_LIST1.csv","knife.jpg","ladder.jpg","93.75","93.75","794.8125","794.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","6","0","0","8","8","0","0","8","8","8","8","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","8","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","621","NA","NA","621","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1094667","1075802","1062970","1077437","1095171","1094665","8703","1080225","1095171","1095793","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1096293","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","12717","16","yes","1024"
"F","8552","F","F","PP_LIST1.csv","watch.jpg","skirt.jpg","94.1176470588","94.1176470588","786","786","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","6","0","0","9","9","0","0","9","9","9","9","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","9","0","0","0","0","0","0","NA","NA","09/24/19 09:55:32","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","2","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/040.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","645","NA","NA","645","NA","2777","NA","NA","NA","NA","590","NA","1054256","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","40","even","NA","8703","2219","2219","6830","8693","8693","NA","NA","1080225","1096371","1075802","1062970","1077437","1096875","1096369","8703","1080225","1096875","1097522","NA","NA","1062970","1077398","1066564","1075800","1066564","1066563","1062970","NA","1077439","NA","NA","NA","NA","1076306","1076306","1076898","1066045","1065544","1098022","NA","8704","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","13362","17","yes","1024"
