"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_HEB","correct_Target_response_Prac","correct_Welcome_PP_HEB","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"Y","5604","H","H","PP_LIST4.csv","brushH.jpg","brushH.jpg","86.6666666667","86.6666666667","781.333333333","781.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","0","0","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","649","NA","NA","649","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","48258","42505","17681","44109","48759","48257","7584","48177","48759","49410","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","49910","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","11720","15","no","yes","1024"
"N","5604","H","V","PP_LIST4.csv","tireH.jpg","tireV.jpg","87.5","87.5","761.5625","761.5625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","13","0","0","1","1","0","0","1","1","1","1","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","1","1","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","465","NA","NA","465","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","50011","42505","17681","44109","50512","50009","7584","48177","50512","50979","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","51479","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","12185","16","no","yes","1024"
"N","5604","H","V","PP_LIST4.csv","saltH.jpg","saltV.jpg","88.2352941176","88.2352941176","745.176470588","745.176470588","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","13","0","0","2","2","0","0","2","2","2","2","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","2","2","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","483","NA","NA","483","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","51560","42505","17681","44109","52061","51558","7584","48177","52061","52546","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","53046","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","12668","17","no","yes","1024"
"N","5604","V","H","PP_LIST4.csv","broomV.jpg","broomH.jpg","88.8888888889","88.8888888889","729.333333333","729.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","13","0","0","3","3","0","0","3","3","3","3","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","3","3","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","460","NA","NA","460","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","53127","42505","17681","44109","53628","53125","7584","48177","53628","54090","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","54590","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","13128","18","no","yes","1024"
"Y","5604","H","H","PP_LIST4.csv","clothespinH.jpg","clothespinH.jpg","89.4736842105","89.4736842105","715.421052632","715.421052632","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","13","0","0","4","4","0","0","4","4","4","4","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","4","4","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","465","NA","NA","465","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","54682","42505","17681","44109","55183","54680","7584","48177","55183","55650","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","56150","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","13593","19","no","yes","1024"
"N","5604","H","V","PP_LIST4.csv","penH.jpg","penV.jpg","90","90","703.45","703.45","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","13","0","0","5","5","0","0","5","5","5","5","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","5","5","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","476","NA","NA","476","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","56231","42505","17681","44109","56732","56230","7584","48177","56732","57210","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","57710","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","14069","20","no","yes","1024"
"F","5604","F","F","PP_LIST4.csv","pumpkin.jpg","trmpet.jpg","90.4761904762","90.4761904762","693.952380952","693.952380952","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","13","0","0","6","6","0","0","6","6","6","6","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","6","6","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","504","NA","NA","504","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","57795","42505","17681","44109","58296","57793","7584","48177","58296","58802","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","59302","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","19","14573","21","no","yes","1024"
"N","5604","H","V","PP_LIST4.csv","scssorH.jpg","scssorV.jpg","90.9090909091","90.9090909091","687.409090909","687.409090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","13","0","0","7","7","0","0","7","7","7","7","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","7","7","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","550","NA","NA","550","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","59382","42505","17681","44109","59883","59380","7584","48177","59883","60435","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","60935","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","15123","22","no","yes","1024"
"F","5604","F","F","PP_LIST4.csv","stove.jpg","ftball.jpg","91.3043478261","91.3043478261","684.173913043","684.173913043","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","13","0","0","8","8","0","0","8","8","8","8","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","8","8","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","613","NA","NA","613","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","61021","42505","17681","44109","61523","61020","7584","48177","61523","62138","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","62638","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","21","15736","23","no","yes","1024"
"F","5604","F","F","PP_LIST4.csv","trmpet.jpg","tapedispenser.jpg","91.6666666667","91.6666666667","683.041666667","683.041666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","13","0","0","9","9","0","0","9","9","9","9","0","13","2","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","13","13","13","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/09/20 16:19:28","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","W:\Projects\PSA\PSA_OpenSesame\StorageOfScripts","no","mono","no","18","no","#0000ff","no","עברית‬","yes","yes","768","no","no","legacy","9","9","3","5","W:/Projects/PSA/PSA_OpenSesame/StorageDataFiles/ISR001_pp_90.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","657","NA","NA","657","NA","NA","NA","4059","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","578","NA","NA","NA","10086","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","90","even","no","no","NA","7584","2680","2680","5703","7575","7575","NA","NA","48177","62714","42505","17681","44109","63215","62713","7584","48177","63215","63874","NA","NA","17681","44086","33840","42503","33840","33840","17681","NA","NA","NA","44110","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43006","43006","43586","20639","33322","64374","NA","NA","NA","7586","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","22","16393","24","no","yes","1024"
