"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SPA","correct_Target_response_Prac","correct_Welcome_PP_SPA","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"Y","8016","H","H","PP_LIST4.csv","crayonH.jpg","crayonH.jpg","87.5","87.5","1004.75","1004.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","0","0","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","659","NA","NA","659","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","77325","70335","56319","72349","77829","77322","27854","77101","77830","78493","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","78993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","7","8038","8","no","yes","1024"
"N","8016","H","V","PP_LIST4.csv","penH.jpg","penV.jpg","88.8888888889","88.8888888889","1027.11111111","1027.11111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","6","0","0","1","1","0","0","1","1","1","1","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","1","1","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1206","NA","NA","1206","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","79328","70335","56319","72349","79832","79325","27854","77101","79832","81041","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","81542","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","8","9244","9","no","yes","1024"
"F","8016","F","F","PP_LIST4.csv","piano.jpg","sutcse.jpg","90","90","1024","1024","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","6","0","0","2","2","0","0","2","2","2","2","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","2","2","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","996","NA","NA","996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","81841","70335","56319","72349","82344","81838","27854","77101","82344","83343","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","83843","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","9","10240","10","no","yes","1024"
"Y","8016","V","V","PP_LIST4.csv","glassV.jpg","glassV.jpg","90.9090909091","90.9090909091","995.636363636","995.636363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","6","0","0","3","3","0","0","3","3","3","3","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","3","3","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","712","NA","NA","712","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","84129","70335","56319","72349","84631","84126","27854","77101","84631","85346","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","85847","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","10","10952","11","no","yes","1024"
"F","8016","F","F","PP_LIST4.csv","tapedispenser.jpg","wrench.jpg","91.6666666667","91.6666666667","979.416666667","979.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","6","0","0","4","4","0","0","4","4","4","4","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","4","4","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","801","NA","NA","801","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","86094","70335","56319","72349","86599","86091","27854","77101","86599","87404","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","87904","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","11","11753","12","no","yes","1024"
"F","8016","F","F","PP_LIST4.csv","skirt.jpg","tlphon.jpg","92.3076923077","92.3076923077","973.076923077","973.076923077","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","6","0","0","5","5","0","0","5","5","5","5","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","5","5","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","897","NA","NA","897","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","88153","70335","56319","72349","88655","88150","27854","77101","88655","89555","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","90055","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","12","12650","13","no","yes","1024"
"Y","8016","H","H","PP_LIST4.csv","brushH.jpg","brushH.jpg","92.8571428571","92.8571428571","964.5","964.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","6","6","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","853","NA","NA","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","90297","70335","56319","72349","90800","90294","27854","77101","90800","91657","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","92158","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","13","13503","14","no","yes","1024"
"Y","8016","H","H","PP_LIST4.csv","flashH.jpg","flashH.jpg","93.3333333333","93.3333333333","946.533333333","946.533333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","6","0","0","7","7","0","0","7","7","7","7","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","7","7","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","695","NA","NA","695","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","92531","70335","56319","72349","93033","92528","27854","77101","93033","93731","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","94232","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","14","14198","15","no","yes","1024"
"N","8016","V","H","PP_LIST4.csv","batV.jpg","batH.jpg","93.75","93.75","937.25","937.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","6","0","0","8","8","0","0","8","8","8","8","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","8","8","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","798","NA","NA","798","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","94496","70335","56319","72349","95000","94493","27854","77101","95000","95802","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","96302","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","15","14996","16","no","yes","1024"
"N","8016","V","H","PP_LIST4.csv","bookV.jpg","bookH.jpg","94.1176470588","94.1176470588","934.705882353","934.705882353","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","6","0","0","9","9","0","0","9","9","9","9","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 15:51:43","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:/PSA","no","mono","no","18","no","#0000ff","no","Español","yes","no","768","no","no","legacy","9","9","2","5","C:/PSA/ECU_001_PP_024.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","894","NA","NA","894","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4729","NA","NA","NA","945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28441","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","yes","EXP","24","even","no","no","NA","27854","7767","7768","24915","27830","27830","NA","NA","77101","96561","70335","56319","72349","97063","96558","27854","77101","97064","97961","NA","NA","56319","72288","60064","70332","60064","60063","56319","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72352","NA","NA","NA","70839","70839","71787","59519","59015","98461","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27857","NA","NA","NA","Orientation_PSA2018","16","15890","17","no","yes","1024"
