"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","9412","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","100","100","686.428571429","686.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","0","0","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","531","NA","NA","531","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","42548","36179","26953","37850","43051","42547","6649","42432","43051","43584","NA","NA","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","44084","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","7","4805","7","yes","yes","1024"
"F","9412","F","F","PP_LIST3.csv","ftball.jpg","nut.jpg","100","100","671","671","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","1","1","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","563","NA","NA","563","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","44252","36179","26953","37850","44755","44251","6649","42432","44755","45320","NA","NA","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","45820","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","8","5368","8","yes","yes","1024"
"F","9412","F","F","PP_LIST3.csv","stove.jpg","ftball.jpg","100","100","651.555555556","651.555555556","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","2","2","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","496","NA","NA","496","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","45966","36179","26953","37850","46469","45965","6649","42432","46469","46968","NA","NA","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","47468","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","9","5864","9","yes","yes","1024"
"F","9412","F","F","PP_LIST3.csv","trmpet.jpg","tapedispenser.jpg","100","100","629.1","629.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","3","3","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","427","NA","NA","427","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","47604","36179","26953","37850","48107","47602","6649","42432","48107","48536","NA","NA","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","49036","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","10","6291","10","yes","yes","1024"
"N","9412","H","V","PP_LIST3.csv","axeH.jpg","axeV.jpg","90.9090909091","90.9090909091","617.727272727","617.727272727","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","4","4","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","504","NA","NA","504","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","49183","36179","26953","37850","49686","49181","6649","42432","49686","48536","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","50692","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","10","6795","11","yes","yes","1024"
"Y","9412","V","V","PP_LIST3.csv","penV.jpg","penV.jpg","91.6666666667","91.6666666667","632.25","632.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","5","5","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","792","NA","NA","792","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","50823","36179","26953","37850","51326","50821","6649","42432","51326","52120","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","52620","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","11","7587","12","yes","yes","1024"
"N","9412","H","V","PP_LIST3.csv","bottleH.jpg","bottleV.jpg","92.3076923077","92.3076923077","633.615384615","633.615384615","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","6","6","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","650","NA","NA","650","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","52773","36179","26953","37850","53276","52771","6649","42432","53276","53928","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","54428","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","12","8237","13","yes","yes","1024"
"Y","9412","V","V","PP_LIST3.csv","tireV.jpg","tireV.jpg","92.8571428571","92.8571428571","624.142857143","624.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","7","7","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","501","NA","NA","501","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","54586","36179","26953","37850","55089","54584","6649","42432","55089","55591","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","56091","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","13","8738","14","yes","yes","1024"
"F","9412","F","F","PP_LIST3.csv","tapedispenser.jpg","wrench.jpg","93.3333333333","93.3333333333","616.866666667","616.866666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","8","8","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","515","NA","NA","515","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","56236","36179","26953","37850","56739","56234","6649","42432","56739","57256","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","57756","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","14","9253","15","yes","yes","1024"
"F","9412","F","F","PP_LIST3.csv","tlphon.jpg","knife.jpg","93.75","93.75","613.1875","613.1875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/06/19 15:22:16","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\PSA 002 & 003_PC007","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","9","9","1","5","C:/PSA 002 & 003_PC007/RawData/TUR_025-PP_089.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","558","NA","NA","558","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4570","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20292","2","legacy","no","no","1024","2","48000","-16","no","EXP","89","odd","no","no","NA","6648","2871","2873","5028","6637","6637","NA","NA","42432","57904","36179","26953","37850","58407","57903","6649","42432","58407","58968","NA","50192","26953","37812","26972","36177","26972","26972","26953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37852","36682","36682","37312","NA","NA","59468","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6650","Orientation_PSA2018","15","9811","16","yes","yes","1024"
