"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","8272","F","F","PP_LIST1.csv","wrench.jpg","piano.jpg","100","100","761.571428571","761.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","635","NA","NA","635","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","28522","24154","13685","25756","29037","28508","8204","28387","29037","29688","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","30188","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5331","7","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","needle.jpg","tiger.jpg","100","100","725","725","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","469","NA","NA","469","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","30351","24154","13685","25756","30866","30337","8204","28387","30866","31351","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","31851","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","5800","8","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","tlphon.jpg","knife.jpg","100","100","696.666666667","696.666666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","470","NA","NA","470","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","32000","24154","13685","25756","32515","31986","8204","28387","32515","33000","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","33500","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6270","9","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","spider.jpg","couch.jpg","100","100","674.3","674.3","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","473","NA","NA","473","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","33651","24154","13685","25756","34166","33637","8204","28387","34166","34655","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","35155","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","6743","10","no","yes","1024"
"Y","8272","H","H","PP_LIST1.csv","bookH.jpg","bookH.jpg","100","100","656.090909091","656.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","474","NA","NA","474","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","35302","24154","13685","25756","35818","35288","8204","28387","35818","36307","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","36808","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7217","11","no","yes","1024"
"Y","8272","V","V","PP_LIST1.csv","fire_extinguisherV.jpg","fire_extinguisherV.jpg","100","100","644.75","644.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","520","NA","NA","520","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","36959","24154","13685","25756","37476","36945","8204","28387","37476","38010","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","38511","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","7737","12","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","ring.jpg","stove.jpg","100","100","637.538461538","637.538461538","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","551","NA","NA","551","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","38659","24154","13685","25756","39174","38645","8204","28387","39174","39740","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","40241","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","8288","13","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","wndmil.jpg","mitten.jpg","100","100","631.428571429","631.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","552","NA","NA","552","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","40391","24154","13685","25756","40907","40377","8204","28387","40907","41474","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","41975","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","8840","14","no","yes","1024"
"N","8272","V","H","PP_LIST1.csv","plateV.jpg","plateH.jpg","100","100","628.733333333","628.733333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","591","NA","NA","591","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","42125","24154","13685","25756","42641","42111","8204","28387","42641","43247","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","43748","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","9431","15","no","yes","1024"
"N","8272","H","V","PP_LIST1.csv","ironH.jpg","ironV.jpg","100","100","628.1875","628.1875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","620","NA","NA","620","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","43896","24154","13685","25756","44411","43882","8204","28387","44411","45047","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","45547","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","10051","16","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","stove.jpg","ftball.jpg","100","100","626.235294118","626.235294118","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","10","10","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","595","NA","NA","595","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","45693","24154","13685","25756","46208","45679","8204","28387","46208","46819","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","47319","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","10646","17","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","knife.jpg","ladder.jpg","100","100","622.833333333","622.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","11","11","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","565","NA","NA","565","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","47467","24154","13685","25756","47982","47452","8204","28387","47982","48563","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","49063","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","11211","18","no","yes","1024"
"Y","8272","V","V","PP_LIST1.csv","caterpillarV.jpg","caterpillarV.jpg","100","100","625.842105263","625.842105263","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","12","12","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","680","NA","NA","680","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","49214","24154","13685","25756","49730","49200","8204","28387","49730","50427","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","50928","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","19","11891","19","no","yes","1024"
"Y","8272","H","H","PP_LIST1.csv","broomH.jpg","broomH.jpg","100","100","622.15","622.15","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","13","13","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","552","NA","NA","552","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","51075","24154","13685","25756","51591","51061","8204","28387","51591","52159","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","52659","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","12443","20","no","yes","1024"
"F","8272","F","F","PP_LIST1.csv","ladder.jpg","house.jpg","100","100","618.19047619","618.19047619","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","0","0","0","Tue Oct 22 11:50:57 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","14","14","1","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_PP_4.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","NA","539","NA","NA","539","NA","2595","NA","NA","NA","NA","NA","NA","NA","513","NA","5439","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","4","even","no","no","NA","8203","4089","4091","6798","8183","8183","NA","NA","28387","52806","24154","13685","25756","53321","52792","8204","28387","53321","53876","NA","NA","13685","25700","13711","24139","13711","13710","13685","NA","25773","NA","NA","NA","NA","NA","NA","NA","24671","24671","25200","16661","NA","54376","NA","8218","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","21","12982","21","no","yes","1024"
