"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","1770","F","F","PP_LIST1.csv","piano.jpg","sutcse.jpg","100","100","682.428571429","682.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","738","NA","NA","738","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","65618","59434","50332","61154","66132","65606","17206","65484","66132","66883","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","67383","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","4777","7","yes","1024"
"F","1770","F","F","PP_LIST1.csv","mitten.jpg","needle.jpg","100","100","657.375","657.375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","482","NA","NA","482","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","67543","59434","50332","61154","68057","67531","17206","65484","68057","68553","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","69053","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","5259","8","yes","1024"
"F","1770","F","F","PP_LIST1.csv","wrench.jpg","piano.jpg","100","100","646.333333333","646.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","558","NA","NA","558","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","69199","59434","50332","61154","69713","69187","17206","65484","69713","70284","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","70785","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","5817","9","yes","1024"
"F","1770","F","F","PP_LIST1.csv","ftball.jpg","nut.jpg","100","100","652","652","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","703","NA","NA","703","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","70930","59434","50332","61154","71444","70917","17206","65484","71444","72160","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","72660","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","6520","10","yes","1024"
"Y","1770","H","H","PP_LIST1.csv","bottleH.jpg","bottleH.jpg","100","100","641.636363636","641.636363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","538","NA","NA","538","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","72807","59434","50332","61154","73320","72794","17206","65484","73321","73872","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","74372","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7058","11","yes","1024"
"F","1770","F","F","PP_LIST1.csv","needle.jpg","tiger.jpg","100","100","629.75","629.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","499","NA","NA","499","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","74517","59434","50332","61154","75031","74505","17206","65484","75031","75543","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","76043","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","7557","12","yes","1024"
"N","1770","V","H","PP_LIST1.csv","saltV.jpg","saltH.jpg","100","100","631.461538462","631.461538462","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","652","NA","NA","652","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","76190","59434","50332","61154","76704","76178","17206","65484","76704","77369","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","77869","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","8209","13","yes","1024"
"F","1770","F","F","PP_LIST1.csv","tlphon.jpg","knife.jpg","100","100","627.214285714","627.214285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","572","NA","NA","572","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","78015","59434","50332","61154","78529","78002","17206","65484","78529","79114","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","79614","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","8781","14","yes","1024"
"F","1770","F","F","PP_LIST1.csv","nut.jpg","watch.jpg","100","100","627.4","627.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","630","NA","NA","630","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","79760","59434","50332","61154","80273","79747","17206","65484","80273","80916","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","81416","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","9411","15","yes","1024"
"N","1770","H","V","PP_LIST1.csv","pencilH.jpg","pencilV.jpg","100","100","623.25","623.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","Mon Sep 30 14:36:22 2019","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","/Users/piperdoud/Desktop/SP and PP","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","1","5","/Users/piperdoud/Desktop/SP and PP/raw_data/USA_065-PP_005.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","561","NA","NA","561","NA","4298","NA","NA","NA","NA","NA","NA","639","NA","33094","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","5","odd","no","no","NA","17205","3811","3812","8819","17185","17185","NA","NA","65484","81565","59434","50332","61154","82079","81552","17206","65484","82079","82654","NA","NA","50332","61099","50353","59422","50353","50353","50332","NA","61168","NA","NA","NA","NA","NA","NA","59947","59947","60599","NA","NA","83154","NA","17218","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","9972","16","yes","1024"
