"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_NOR","correct_Target_response_Prac","correct_Welcome_PP_NOR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","6835","V","H","PP_LIST2.csv","keyV.jpg","keyH.jpg","100","100","659.142857143","659.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","0","0","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","902","NA","NA","902","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","48949","45118","36214","46690","49452","48948","8090","48716","49453","50357","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","50857","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","7","4614","7","yes","1024"
"N","6835","H","V","PP_LIST2.csv","flashH.jpg","flashV.jpg","100","100","640.5","640.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","1","1","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","510","NA","NA","510","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","51013","45118","36214","46690","51517","51012","8090","48716","51517","52029","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","52529","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","8","5124","8","yes","1024"
"F","6835","F","F","PP_LIST2.csv","couch.jpg","spider.jpg","100","100","617.888888889","617.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","2","2","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","437","NA","NA","437","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","52702","45118","36214","46690","53206","52701","8090","48716","53206","53644","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","54144","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","9","5561","9","yes","1024"
"F","6835","F","F","PP_LIST2.csv","mitten.jpg","needle.jpg","100","100","611.5","611.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","3","3","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","554","NA","NA","554","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","54314","45118","36214","46690","54817","54313","8090","48716","54818","55373","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","55873","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","10","6115","10","yes","1024"
"N","6835","V","H","PP_LIST2.csv","pencilV.jpg","pencilH.jpg","100","100","611.909090909","611.909090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","4","4","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","616","NA","NA","616","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","56003","45118","36214","46690","56506","56002","8090","48716","56507","57125","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","57625","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","11","6731","11","yes","1024"
"F","6835","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","100","100","607.916666667","607.916666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","5","5","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","564","NA","NA","564","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","57783","45118","36214","46690","58286","57781","8090","48716","58287","58853","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","59353","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","12","7295","12","yes","1024"
"Y","6835","V","V","PP_LIST2.csv","bowlV.jpg","bowlV.jpg","100","100","598.923076923","598.923076923","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","6","6","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","491","NA","NA","491","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","59528","45118","36214","46690","60031","59526","8090","48716","60032","60525","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","61025","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","13","7786","13","yes","1024"
"F","6835","F","F","PP_LIST2.csv","ring.jpg","stove.jpg","100","100","596.571428571","596.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","7","7","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","566","NA","NA","566","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","61149","45118","36214","46690","61652","61147","8090","48716","61653","62221","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","62721","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","14","8352","14","yes","1024"
"F","6835","F","F","PP_LIST2.csv","wrench.jpg","piano.jpg","100","100","587.133333333","587.133333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","8","8","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","455","NA","NA","455","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","62892","45118","36214","46690","63395","62891","8090","48716","63396","63853","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","64353","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","15","8807","15","yes","1024"
"F","6835","F","F","PP_LIST2.csv","trmpet.jpg","tapedispenser.jpg","100","100","582.75","582.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","9","9","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","517","NA","NA","517","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","64494","45118","36214","46690","64997","64492","8090","48716","64998","65517","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","66017","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","16","9324","16","yes","1024"
"N","6835","V","H","PP_LIST2.csv","ironV.jpg","ironH.jpg","100","100","587.647058824","587.647058824","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","10","10","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","666","NA","NA","666","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","66145","45118","36214","46690","66648","66144","8090","48716","66649","67317","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","67817","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","17","9990","17","yes","1024"
"F","6835","F","F","PP_LIST2.csv","knife.jpg","ladder.jpg","100","100","590.611111111","590.611111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","11","11","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","641","NA","NA","641","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","67946","45118","36214","46690","68449","67944","8090","48716","68450","69093","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","69593","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","18","10631","18","yes","1024"
"F","6835","F","F","PP_LIST2.csv","ftball.jpg","nut.jpg","100","100","603.105263158","603.105263158","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","12","12","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","828","NA","NA","828","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","69735","45118","36214","46690","70238","69733","8090","48716","70239","71068","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","71569","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","19","11459","19","yes","1024"
"F","6835","F","F","PP_LIST2.csv","sutcse.jpg","pumpkin.jpg","100","100","599.55","599.55","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","13","13","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","532","NA","NA","532","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","71712","45118","36214","46690","72215","71711","8090","48716","72216","72749","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","73249","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","20","11991","20","yes","1024"
"F","6835","F","F","PP_LIST2.csv","tapedispenser.jpg","wrench.jpg","100","100","600.619047619","600.619047619","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","14","14","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","622","NA","NA","622","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","73373","45118","36214","46690","73876","73372","8090","48716","73877","74501","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","75001","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","21","12613","21","yes","1024"
"Y","6835","V","V","PP_LIST2.csv","bookV.jpg","bookV.jpg","100","100","592.409090909","592.409090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","15","0","15","5","0","0","15","15","0","0","15","15","15","15","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","15","0","0","0","0","0","0","0","0","10/23/19 14:43:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norsk","yes","768","no","legacy","15","15","1","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_PP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","space","NA","NA","NA","NA","420","NA","NA","420","NA","NA","NA","2015","NA","NA","NA","NA","516","NA","NA","NA","28111","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","no","no","NA","8090","2098","2101","5300","8080","8080","NA","NA","48716","75159","45118","36214","46690","75662","75158","8090","48716","75663","76085","NA","NA","36214","46641","36236","45117","36236","36236","36214","NA","NA","NA","46692","NA","NA","NA","NA","45622","45623","46141","NA","NA","76585","NA","NA","NA","8092","NA","NA","NA","NA","Orientation_PSA2018","22","13033","22","yes","1024"
