"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SLK","correct_Target_response_Prac","correct_Welcome_PP_SLK","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","9317","V","H","PP_LIST3.csv","fire_extinguisherV.jpg","fire_extinguisherH.jpg","90.9090909091","90.9090909091","1000.45454545","1000.45454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","0","0","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","719","NA","NA","719","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","44172","38121","17513","39765","44673","44170","9576","44045","44673","45395","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","45895","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","10","11005","11","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","wndmil.jpg","mitten.jpg","91.6666666667","91.6666666667","960.416666667","960.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","9","0","0","1","1","0","0","1","1","1","1","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","1","1","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","520","NA","NA","520","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","46067","38121","17513","39765","46568","46066","9576","44045","46568","47090","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","47590","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","11","11525","12","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","stove.jpg","ftball.jpg","92.3076923077","92.3076923077","935","935","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","9","0","0","2","2","0","0","2","2","2","2","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","2","2","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","630","NA","NA","630","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","47741","38121","17513","39765","48242","47740","9576","44045","48242","48874","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","49374","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","12","12155","13","no","yes","1024"
"N","9317","V","H","PP_LIST3.csv","crayonV.jpg","crayonH.jpg","92.8571428571","92.8571428571","904","904","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","9","0","0","3","3","0","0","3","3","3","3","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","3","3","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","501","NA","NA","501","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","49558","38121","17513","39765","50059","49556","9576","44045","50059","50562","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","51062","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","13","12656","14","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","house.jpg","ring.jpg","93.3333333333","93.3333333333","874.066666667","874.066666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","9","0","0","4","4","0","0","4","4","4","4","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","4","4","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","455","NA","NA","455","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","51196","38121","17513","39765","51697","51194","9576","44045","51697","52154","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","52654","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","14","13111","15","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","tiger.jpg","wndmil.jpg","93.75","93.75","858.0625","858.0625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","9","0","0","5","5","0","0","5","5","5","5","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","5","5","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","618","NA","NA","618","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","52793","38121","17513","39765","53294","52791","9576","44045","53294","53914","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","54414","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","15","13729","16","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","tapedispenser.jpg","wrench.jpg","94.1176470588","94.1176470588","836.235294118","836.235294118","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","9","0","0","6","6","0","0","6","6","6","6","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","6","6","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","487","NA","NA","487","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","54644","38121","17513","39765","55145","54642","9576","44045","55145","55635","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","56135","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","16","14216","17","no","yes","1024"
"Y","9317","V","V","PP_LIST3.csv","tireV.jpg","tireV.jpg","94.4444444444","94.4444444444","816.722222222","816.722222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","9","0","0","7","7","0","0","7","7","7","7","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","7","7","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","485","NA","NA","485","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","56302","38121","17513","39765","56803","56301","9576","44045","56803","57290","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","57790","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","17","14701","18","no","yes","1024"
"F","9317","F","F","PP_LIST3.csv","ladder.jpg","house.jpg","94.7368421053","94.7368421053","796.421052632","796.421052632","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","9","0","0","8","8","0","0","8","8","8","8","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","8","8","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","431","NA","NA","431","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","57924","38121","17513","39765","58425","57922","9576","44045","58425","58858","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","59358","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","18","15132","19","no","yes","1024"
"N","9317","V","H","PP_LIST3.csv","flashV.jpg","flashH.jpg","95","95","783.9","783.9","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","9","1","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/03/19 13:49:04","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\K11-3\Disk Google\00, PSA\upload","no","mono","no","18","no","#0000ff","no","slovenčina","yes","no","768","no","no","legacy","9","9","2","5","SVK_001_PP_04.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","546","NA","NA","546","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4265","NA","NA","NA","NA","601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7919","NA","NA","NA","NA","2","legacy","no","yes","1024","2","48000","-16","no","EXP","4","even","no","no","NA","9576","5500","5501","8620","9557","9557","NA","NA","44045","59505","38121","17513","39765","60006","59503","9576","44045","60006","60554","NA","NA","17513","39726","28700","38118","28700","28700","17513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39767","NA","NA","NA","NA","38623","38623","39226","23623","28170","61054","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9578","NA","NA","NA","NA","Orientation_PSA2018","19","15678","20","no","yes","1024"
