"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_HUN","correct_Target_response_Prac","correct_Welcome_PP_HUN","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","6447","V","H","PP_LIST1.csv","penV.jpg","penH.jpg","100","100","887.285714286","887.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","0","0","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","747","NA","NA","747","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","48023","42591","31693","44243","48525","48021","15025","47917","48526","49275","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","49775","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","7","6211","7","yes","1024"
"F","6447","F","F","PP_LIST1.csv","wndmil.jpg","mitten.jpg","100","100","843.5","843.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","1","1","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","537","NA","NA","537","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","49944","42591","31693","44243","50446","49942","15025","47917","50447","50986","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","51486","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","8","6748","8","yes","1024"
"Y","6447","H","H","PP_LIST1.csv","bookH.jpg","bookH.jpg","100","100","817.666666667","817.666666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","2","2","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","611","NA","NA","611","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","51623","42591","31693","44243","52125","51621","15025","47917","52126","52739","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","53239","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","9","7359","9","yes","1024"
"Y","6447","V","V","PP_LIST1.csv","clothespinV.jpg","clothespinV.jpg","100","100","797.8","797.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","3","3","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","619","NA","NA","619","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","53398","42591","31693","44243","53900","53395","15025","47917","53901","54522","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","55022","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","10","7978","10","yes","1024"
"Y","6447","V","V","PP_LIST1.csv","brushV.jpg","brushV.jpg","100","100","780.545454545","780.545454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","4","4","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","608","NA","NA","608","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","55162","42591","31693","44243","55664","55160","15025","47917","55665","56275","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","56775","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","11","8586","11","yes","1024"
"N","6447","V","H","PP_LIST1.csv","scssorV.jpg","scssorH.jpg","100","100","767.916666667","767.916666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","5","5","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","629","NA","NA","629","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","56909","42591","31693","44243","57412","56907","15025","47917","57412","58043","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","58543","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","12","9215","12","yes","1024"
"F","6447","F","F","PP_LIST1.csv","tlphon.jpg","knife.jpg","100","100","753","753","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","6","6","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","574","NA","NA","574","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","58675","42591","31693","44243","59178","58673","15025","47917","59179","59755","NA","NA","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","60255","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","13","9789","13","yes","1024"
"F","6447","F","F","PP_LIST1.csv","spider.jpg","couch.jpg","92.8571428571","92.8571428571","738.642857143","738.642857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","7","7","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","552","NA","NA","552","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","60394","42591","31693","44243","60896","60392","15025","47917","60897","59755","NA","61451","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","61951","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","13","10341","14","yes","1024"
"F","6447","F","F","PP_LIST1.csv","stove.jpg","ftball.jpg","93.3333333333","93.3333333333","748.2","748.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","8","8","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","882","NA","NA","882","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","62088","42591","31693","44243","62590","62086","15025","47917","62591","63475","NA","61451","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","63975","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","14","11223","15","yes","1024"
"N","6447","V","H","PP_LIST1.csv","tireV.jpg","tireH.jpg","93.75","93.75","738.4375","738.4375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","10/07/19 10:26:17","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","9","9","1","5","PP-80.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","592","NA","NA","592","NA","NA","3660","NA","NA","NA","NA","NA","603","NA","NA","16654","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","80","even","no","no","NA","15025","1607","1607","11634","15012","15012","NA","NA","47917","64138","42591","31693","44243","64640","64136","15025","47917","64641","65235","NA","61451","31693","44199","31714","42589","31714","31714","31693","NA","NA","44245","NA","NA","NA","NA","NA","43093","43094","43699","36626","NA","65735","NA","NA","15027","NA","NA","NA","NA","NA","Orientation_PSA2018","15","11815","16","yes","1024"
