"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_HUN","correct_Target_response_Prac","correct_Welcome_PP_HUN","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","6447","H","H","PP_LIST2.csv","penH.jpg","penH.jpg","100","100","840.857142857","840.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","0","0","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","630","NA","NA","630","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","51560","44972","34858","46694","52062","51558","9911","51450","52063","52695","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","53195","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5886","7","yes","1024"
"F","6447","F","F","PP_LIST2.csv","wndmil.jpg","mitten.jpg","100","100","814.25","814.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","1","1","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","628","NA","NA","628","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","53379","44972","34858","46694","53881","53377","9911","51450","53882","54512","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","55012","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","8","6514","8","yes","1024"
"Y","6447","V","V","PP_LIST2.csv","bookV.jpg","bookV.jpg","100","100","795.111111111","795.111111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","2","2","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","642","NA","NA","642","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","55172","44972","34858","46694","55674","55170","9911","51450","55675","56319","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","56819","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","9","7156","9","yes","1024"
"N","6447","H","V","PP_LIST2.csv","clothespinH.jpg","clothespinV.jpg","100","100","812.2","812.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","3","3","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","966","NA","NA","966","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","56992","44972","34858","46694","57494","56990","9911","51450","57495","58463","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","58964","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","10","8122","10","yes","1024"
"N","6447","H","V","PP_LIST2.csv","brushH.jpg","brushV.jpg","100","100","799.818181818","799.818181818","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","4","4","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","676","NA","NA","676","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","59114","44972","34858","46694","59616","59112","9911","51450","59617","60295","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","60795","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","11","8798","11","yes","1024"
"Y","6447","H","H","PP_LIST2.csv","scssorH.jpg","scssorH.jpg","100","100","790.916666667","790.916666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","5","5","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","693","NA","NA","693","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","60938","44972","34858","46694","61440","60936","9911","51450","61441","62136","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","62636","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","12","9491","12","yes","1024"
"F","6447","F","F","PP_LIST2.csv","tlphon.jpg","knife.jpg","100","100","776.923076923","776.923076923","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","6","6","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","609","NA","NA","609","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","62780","44972","34858","46694","63283","62778","9911","51450","63284","63895","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","64395","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","13","10100","13","yes","1024"
"F","6447","F","F","PP_LIST2.csv","spider.jpg","couch.jpg","100","100","793.714285714","793.714285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","7","7","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","1012","NA","NA","1012","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","64530","44972","34858","46694","65032","64528","9911","51450","65033","66047","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","66547","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","14","11112","14","yes","1024"
"F","6447","F","F","PP_LIST2.csv","stove.jpg","ftball.jpg","100","100","784.6","784.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","8","8","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","657","NA","NA","657","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","66685","44972","34858","46694","67188","66683","9911","51450","67188","67847","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","68347","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","15","11769","15","yes","1024"
"Y","6447","H","H","PP_LIST2.csv","tireH.jpg","tireH.jpg","100","100","780","780","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","10/02/19 16:32:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","9","9","1","5","PP-9.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","711","NA","NA","711","NA","NA","4741","NA","NA","NA","NA","NA","667","NA","NA","24932","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","9","odd","no","no","NA","9910","1392","1393","7605","9897","9897","NA","NA","51450","68503","44972","34858","46694","69005","68501","9911","51450","69006","69719","NA","NA","34858","46644","34879","44970","34879","34879","34858","NA","NA","46696","NA","NA","NA","NA","NA","45474","45475","46144","NA","NA","70219","NA","NA","9913","NA","NA","NA","NA","NA","Orientation_PSA2018","16","12480","16","yes","1024"
