"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","3024","H","V","PP_LIST2.csv","flashH.jpg","flashV.jpg","100","100","845","845","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","0","0","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1242","NA","NA","1242","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","43186","39320","29868","41240","43691","43184","6212","43075","43692","44936","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","45436","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","7","5915","7","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","trmpet.jpg","tapedispenser.jpg","100","100","823.875","823.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","1","1","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","676","NA","NA","676","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","45601","39320","29868","41240","46106","45599","6212","43075","46106","46784","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","47284","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","8","6591","8","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","100","100","806","806","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","2","2","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","663","NA","NA","663","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","47444","39320","29868","41240","47951","47443","6212","43075","47951","48616","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","49117","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","9","7254","9","yes","yes","1024"
"N","3024","V","H","PP_LIST2.csv","keyV.jpg","keyH.jpg","100","100","787.4","787.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","3","3","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","620","NA","NA","620","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","49273","39320","29868","41240","49778","49272","6212","43075","49778","50400","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","50900","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","10","7874","10","yes","yes","1024"
"N","3024","H","V","PP_LIST2.csv","clothespinH.jpg","clothespinV.jpg","100","100","778","778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","4","4","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","684","NA","NA","684","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","51081","39320","29868","41240","51586","51080","6212","43075","51586","52271","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","52771","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","11","8558","11","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","house.jpg","ring.jpg","100","100","755.416666667","755.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","5","5","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","507","NA","NA","507","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","52938","39320","29868","41240","53443","52936","6212","43075","53443","53952","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","54452","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","12","9065","12","yes","yes","1024"
"Y","3024","V","V","PP_LIST2.csv","axeV.jpg","axeV.jpg","100","100","760.846153846","760.846153846","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","6","6","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","826","NA","NA","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","54611","39320","29868","41240","55116","54609","6212","43075","55116","55944","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","56444","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","13","9891","13","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","buggy.jpg","glass.jpg","100","100","748.428571429","748.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","7","7","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","587","NA","NA","587","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","56602","39320","29868","41240","57107","56600","6212","43075","57107","57696","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","58196","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","14","10478","14","yes","yes","1024"
"N","3024","V","H","PP_LIST2.csv","guitarV.jpg","guitarH.jpg","100","100","747.8","747.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","8","8","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","739","NA","NA","739","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","58362","39320","29868","41240","58867","58360","6212","43075","58867","59608","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","60108","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","15","11217","15","yes","yes","1024"
"Y","3024","H","H","PP_LIST2.csv","plateH.jpg","plateH.jpg","100","100","737.375","737.375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/13/19 17:22:54","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","9","9","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[068].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","581","NA","NA","581","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1820","853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23641","2","legacy","no","no","1024","2","48000","-16","no","EXP","68","even","no","no","NA","6211","2395","2396","4886","6197","6197","NA","NA","43075","60263","39320","29868","41240","60768","60262","6212","43075","60768","61352","NA","NA","29868","41180","29886","39318","29886","29886","29868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41242","39825","39825","40680","NA","NA","61852","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6213","Orientation_PSA2018","16","11798","16","yes","yes","1024"
