"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","3024","F","F","PP_LIST3.csv","umberella.jpg","flower.jpg","94.1176470588","94.1176470588","803.058823529","803.058823529","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","10","10","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","842","NA","NA","842","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","52438","26861","16510","28754","52943","52436","6199","32847","52943","53787","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","54287","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","16","13652","17","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","tiger.jpg","wndmil.jpg","94.4444444444","94.4444444444","801.055555556","801.055555556","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","11","11","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","767","NA","NA","767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","54448","26861","16510","28754","54953","54446","6199","32847","54953","55722","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","56222","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","17","14419","18","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","bookH.jpg","bookV.jpg","94.7368421053","94.7368421053","822.157894737","822.157894737","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","12","12","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1202","NA","NA","1202","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","56379","26861","16510","28754","56886","56378","6199","32847","56886","58090","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","58590","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","18","15621","19","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","bowlH.jpg","bowlV.jpg","95","95","816.9","816.9","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","13","13","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","717","NA","NA","717","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","58787","26861","16510","28754","59292","58786","6199","32847","59292","60011","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","60511","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","19","16338","20","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","spider.jpg","couch.jpg","95.2380952381","95.2380952381","811.047619048","811.047619048","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","14","14","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","694","NA","NA","694","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","60681","26861","16510","28754","61186","60679","6199","32847","61186","61882","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","62382","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","20","17032","21","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","pumpkin.jpg","trmpet.jpg","95.4545454545","95.4545454545","804.454545455","804.454545455","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","15","0","15","5","0","0","15","15","0","0","15","15","15","15","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","15","15","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","666","NA","NA","666","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","62534","26861","16510","28754","63039","62532","6199","32847","63039","63707","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","64207","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","21","17698","22","yes","yes","1024"
"N","3024","V","H","PP_LIST3.csv","caterpillarV.jpg","caterpillarH.jpg","95.652173913","95.652173913","793","793","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","16","0","16","5","0","0","16","16","0","0","16","16","16","16","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","16","16","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","541","NA","NA","541","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","64402","26861","16510","28754","64907","64400","6199","32847","64907","65450","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","65950","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","22","18239","23","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","piano.jpg","sutcse.jpg","95.8333333333","95.8333333333","786.125","786.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","17","0","17","5","0","0","17","17","0","0","17","17","17","17","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","17","17","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","628","NA","NA","628","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","66099","26861","16510","28754","66604","66098","6199","32847","66604","67234","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","67734","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","23","18867","24","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","stove.jpg","ftball.jpg","96","96","784.28","784.28","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","18","0","18","5","0","0","18","18","0","0","18","18","18","18","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","18","18","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","740","NA","NA","740","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","67907","26861","16510","28754","68413","67906","6199","32847","68413","69155","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","69655","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","24","19607","25","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","96.1538461538","96.1538461538","778.307692308","778.307692308","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","19","0","19","5","0","0","19","19","0","0","19","19","19","19","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","19","19","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","629","NA","NA","629","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","69818","26861","16510","28754","70323","69817","6199","32847","70323","70954","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","71454","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","25","20236","26","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","bottleH.jpg","bottleV.jpg","96.2962962963","96.2962962963","773.407407407","773.407407407","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","20","0","20","5","0","0","20","20","0","0","20","20","20","20","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","20","20","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","646","NA","NA","646","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","71618","26861","16510","28754","72123","71617","6199","32847","72123","72771","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","73271","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","26","20882","27","yes","yes","1024"
"Y","3024","V","V","PP_LIST3.csv","scssorV.jpg","scssorV.jpg","96.4285714286","96.4285714286","767.678571429","767.678571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","21","0","21","5","0","0","21","21","0","0","21","21","21","21","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/04/19 15:43:51","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","21","21","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[033].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","613","NA","NA","613","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077","826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10296","2","legacy","no","no","1024","2","48000","-16","no","EXP","33","odd","no","no","NA","6199","2421","2422","5344","6184","6184","NA","NA","32847","73402","26861","16510","28754","73907","73400","6199","32847","73907","74522","35596","51778","16510","28694","16529","26859","16529","16529","16510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28756","27366","27366","28194","NA","NA","75022","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6201","Orientation_PSA2018","27","21495","28","yes","yes","1024"
