"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","3024","H","V","PP_LIST2.csv","flashH.jpg","flashV.jpg","100","100","924.142857143","924.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","0","0","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","711","NA","NA","711","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","42253","38277","27707","40159","42758","42251","6003","42138","42758","43471","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","43971","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","7","6469","7","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","trmpet.jpg","tapedispenser.jpg","100","100","892.75","892.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","1","1","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","673","NA","NA","673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","44146","38277","27707","40159","44651","44144","6003","42138","44651","45326","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","45826","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","8","7142","8","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","100","100","907.444444444","907.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","2","2","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1025","NA","NA","1025","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","45979","38277","27707","40159","46484","45978","6003","42138","46484","47511","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","48011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","9","8167","9","yes","yes","1024"
"N","3024","V","H","PP_LIST2.csv","keyV.jpg","keyH.jpg","100","100","878.1","878.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","3","3","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","614","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","48150","38277","27707","40159","48655","48148","6003","42138","48655","49270","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","49771","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","10","8781","10","yes","yes","1024"
"N","3024","H","V","PP_LIST2.csv","clothespinH.jpg","clothespinV.jpg","100","100","861.545454545","861.545454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","4","4","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","696","NA","NA","696","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","49947","38277","27707","40159","50452","49945","6003","42138","50452","51150","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","51650","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","11","9477","11","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","house.jpg","ring.jpg","100","100","845.833333333","845.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","5","5","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","673","NA","NA","673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","51787","38277","27707","40159","52292","51785","6003","42138","52292","52967","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","53467","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","12","10150","12","yes","yes","1024"
"Y","3024","V","V","PP_LIST2.csv","axeV.jpg","axeV.jpg","100","100","832","832","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","6","6","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","666","NA","NA","666","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","53625","38277","27707","40159","54130","53623","6003","42138","54130","54798","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","55298","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","13","10816","13","yes","yes","1024"
"F","3024","F","F","PP_LIST2.csv","buggy.jpg","glass.jpg","100","100","819.857142857","819.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","7","7","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","662","NA","NA","662","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","55462","38277","27707","40159","55967","55460","6003","42138","55967","56631","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","57131","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","14","11478","14","yes","yes","1024"
"N","3024","V","H","PP_LIST2.csv","guitarV.jpg","guitarH.jpg","100","100","800.866666667","800.866666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","8","8","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","535","NA","NA","535","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","57268","38277","27707","40159","57773","57266","6003","42138","57773","58310","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","58810","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","15","12013","15","yes","yes","1024"
"Y","3024","H","H","PP_LIST2.csv","plateH.jpg","plateH.jpg","100","100","784.8125","784.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/20/19 14:08:24","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\002&003 BUNDLE","no","mono","no","18","no","#0000ff","no","Türkçe","yes","768","no","no","legacy","9","9","1","5","C:/Users/Administrator/Desktop/002&003 BUNDLE/[TUR_007]_PP_[084].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","544","NA","NA","544","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1963","814","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21688","2","legacy","no","no","1024","2","48000","-16","no","EXP","84","even","no","no","NA","6003","2462","2463","5132","5988","5988","NA","NA","42138","58972","38277","27707","40159","59477","58970","6003","42138","59477","60023","NA","NA","27707","40098","27726","38275","27726","27726","27707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40161","38782","38782","39598","NA","NA","60523","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6005","Orientation_PSA2018","16","12557","16","yes","yes","1024"
